,activityName,exitId,avaliable
83,com.taobao.trip.flight.ui.FlightFillOrderInsuranceExplainActivity,0,0
84,com.taobao.trip.flight.ui.FlightRegisterSelectActivity,0,0
85,com.taobao.trip.flight.ui.FlightRegisterCheckboxActivity,0,0
86,com.taobao.trip.flight.ui.flightdynamics.FlightDynamicsListActivity,0,0
87,com.taobao.trip.flight.ui.flightdynamics.FlightDynamicsDetailInfoActivity,0,0
88,com.taobao.trip.flight.ui.flightdynamics.FlightDynamicsHomeActivity,0,0
89,com.taobao.trip.flight.ui.flightdynamics.FlightTrajectoryActivity,0,0
90,com.taobao.trip.flight.ui.city.FlightCitySelectionActivity,0,0
91,com.taobao.trip.flight.ui.checkin.FlightCheckInListActivity,0,0
92,com.taobao.trip.flight.ui.checkin.FlightCheckInSuccessActivity,0,0
93,com.taobao.trip.flight.ui.checkin.FlightCheckInCancelActivity,0,0
94,com.taobao.trip.flight.ui.checkin.FlightCheckInSeatSelectActivity,0,0
95,com.taobao.trip.flight.ui.checkin.FlightCheckInUpdateActivity,0,0
96,com.taobao.trip.flight.iflight.otaagent.IFlightOtaAgentInfoActivity,0,0
97,com.taobao.trip.flight.iflight.otalist.IFlightOtaListActivity,0,0
98,com.taobao.trip.flight.iflight.otalist.IFlightOtaDetailActivity,0,0
99,com.taobao.trip.flight.iflight.list.IFlightListActivity,0,0
100,com.taobao.trip.flight.iflight.list.IFlightMultiListSegmentFirstActivity,0,0
101,com.taobao.trip.flight.iflight.list.IFlightMultiListSegmentOtherActivity,0,0
102,com.taobao.trip.genievoice.searchpage.VoiceSearchActivity,0,0
103,com.taobao.trip.genievoice.samplepage.VoiceSearchSampleActivity,0,0
104,com.taobao.trip.globalsearch.modules.result.SearchResultActivity,0,0
105,com.taobao.trip.globalsearch.modules.home.SearchHomeActivity,0,0
106,com.taobao.trip.hotel.ui.HotelInfoCorrectActivity,0,0
107,com.taobao.trip.hotel.ui.HotelMapInfoCorrectActivity,0,0
108,com.taobao.trip.hotel.search.view.HotelSearchActivity,0,0
109,com.taobao.trip.hotel.ui.HotelStarPriceFilterActivity,0,0
110,com.taobao.trip.hotel.ui.HotelKeywordSearchActivity,0,0
111,com.taobao.trip.hotel.ui.HotelListActivity,0,0
112,com.taobao.trip.hotel.ui.HotelFillOrderActivity,0,0
113,com.taobao.trip.hotel.ui.HotelDetailActivity,0,0
114,com.taobao.trip.hotel.ui.HotelExtraInfoExtActivity,0,0
115,com.taobao.trip.hotel.ui.HotelOrderDetailActivity,0,0
116,com.taobao.trip.hotel.ui.HotelRefundActivity,0,0
117,com.taobao.trip.hotel.ui.HotelRefundReasonActivity,0,0
118,com.taobao.trip.hotel.ui.HotelDetailPicsActivity,0,0
119,com.taobao.trip.hotel.ui.HotelPicListActivity,0,0
120,com.taobao.trip.hotel.ui.HotelRefundServiceActivity,0,0
121,com.taobao.trip.hotel.ui.HotelEventListActivity,0,0
122,com.taobao.trip.hotel.detailmap.HotelDetailMapActivity,0,0
123,com.taobao.trip.hotel.detailmap.view.HetelDetailCommonMapActivity,0,0
124,com.taobao.trip.hotel.ui.HotelHelperActivity,0,0
125,com.taobao.trip.hotel.ui.HotelPayActivity,0,0
126,com.taobao.trip.hotel.ui.HotelRecommendListActivity,0,0
127,com.taobao.trip.hotel.ui.HotelRecommendMapActivity,0,0
128,com.taobao.trip.hotel.ui.HotelCreditPayActivity,0,0
129,com.taobao.trip.hotel.ui.HotelCommentSuccessActivity,0,0
130,com.taobao.trip.hotel.ui.HotelCheckinCardActivity,0,0
131,com.taobao.trip.hotel.ui.HotelOrderPriceDetailActivity,0,0
132,com.taobao.trip.hotel.ui.HotelAddressListActivity,0,0
133,com.taobao.trip.hotel.ui.HotelEditAddressActivity,0,0
134,com.taobao.trip.hotel.ui.HotelAddressWheelActivity,0,0
135,com.taobao.trip.hotel.ui.HotelInvoiceListActivity,0,0
136,com.taobao.trip.hotel.ui.HotelAgentActivity,0,0
137,com.taobao.trip.hotel.ui.HotelBrowsingHistoryActivity,0,0
138,com.taobao.trip.hotel.ui.HotelFillOrderDetailActivity,0,0
139,com.taobao.trip.hotel.guestselect.GuestSelectActivity,0,0
140,com.taobao.trip.hotel.ui.CountryCodeSelectActivity,0,0
141,com.taobao.trip.hotel.ui.HotelOverseaMapActivity,0,0
142,com.taobao.trip.hotel.ui.HotelModifyOrderActivity,0,0
143,com.taobao.trip.hotel.ui.fragment.MapBoxActivity,0,0
144,com.taobao.trip.hotel.ui.HotelInvoiceActivity,0,0
145,com.taobao.trip.hotel.ui.HotelCitySelectionActivity,0,0
146,com.taobao.trip.hotel.ui.HotelCalendarActivity,0,0
147,com.taobao.trip.interactionlive.FliggyLiveActivity,0,0
148,com.taobao.trip.journey.ui.map.JourneyAMapActivity,0,0
149,com.taobao.trip.journey.ui.fragment.JourneyArrangeActivity,0,0
150,com.taobao.trip.journey.ui2.fragment.JourneyNewArrangeActivity,0,0
151,com.taobao.trip.messagecenter.home.fragment.MessageCenterHomeActivity,0,0
152,com.taobao.trip.messagecenter.list.fragment.MessageCenterListActivity,0,0
153,com.taobao.trip.messagecenter.settings.fragment.MessageCenterSettingsActivity,0,0
154,com.taobao.trip.onlinetools.OnlineToolsDebugActivity,0,0
155,com.taobao.trip.onlinetools.OnlineToolsRouter,0,0
156,com.taobao.trip.onlinetools.ut.UTRealtimeActivity,0,0
157,com.taobao.trip.onlinevisa.OnlineVisaHomeActivity,0,0
